net,length_um
net47,2172.62
net58,2119.72
net71,2049.38
net69,2013.68
net70,1969.4
net68,1927.4
net72,1895.34
net67,1893.04
net44,1857.3
net73,1840.16
net74,1778.1
net66,1777.2
net75,1715.28
net65,1681.56
net76,1658.9
net64,1649.68
net63,1621.52
net77,1609.94
net78,1544.84
net62,1535.92
clock,1503.47
net48,1483.62
net61,1478.14
net60,1465.28
net49,1450.66
net59,1403.92
net50,1388.36
net36,1378.33
net45,1364.73
net4,1349.37
_03907_,1327.88
net51,1323.44
net55,1312.16
_03902_,1306.755
net57,1302.78
net46,1289.57
net52,1280
net7,1258.9
net3,1253.08
_03772_,1246.53
net56,1243.6
net53,1238.64
_03829_,1231.13
net9,1213.77
net8,1211.2
_03838_,1195.58
net35,1192.9
_03835_,1189.43
address1[0],1188.33
net10,1181.11
net54,1173.22
_02728_,1146.06
net11,1145.89
net6,1134.97
_02762_,1106.41
_04044_,1100.67
_03905_,1094.34
_02768_,1085.74
_02944_,1085.66
_03774_,1083.16
_03870_,1078.62
_03852_,1064.95
_02764_,1060.52
_03800_,1051.68
_03875_,1023.18
net33,1018.14
_03792_,1017.3
address2[1],1017.16
_03831_,1014.63
_03842_,1012.71
net1,1007.95
_02967_,1003.33
address2[0],1001.635
_02760_,998.9
_03896_,984.78
_02758_,960.01
_02995_,959.26
_02772_,948.71
net32,946.56
_02739_,942.44
_02795_,939.17
_03010_,935.07
_02781_,930.78
_03014_,929.18
_02785_,925.72
_03830_,919.19
_02700_,918.5
_03893_,918.03
net5,917.33
_03803_,911.87
_02784_,910.13
_02956_,903.16
_02744_,902.65
_03881_,901.59
_02708_,897.05
_03798_,893.95
_02790_,893.72
_02840_,879.36
_03894_,877.23
_02720_,873.16
_04058_,869.235
_02736_,866.96
_02788_,865.99
_03815_,864.95
_02734_,864.68
_02731_,864.58
_03788_,864.52
_02767_,860.59
_02704_,860.1
_04052_,847.84
net31,845.74
_02792_,843.59
_03882_,842.54
_02727_,841.14
_02782_,839.72
_03791_,839.52
_03880_,836.68
_03832_,834.8
_03002_,834.37
_02719_,833.98
_03825_,831.25
_02925_,828.99
_03850_,827.595
_03817_,818.585
_01827_,812.36
_02836_,806.86
_03746_,805.72
_02793_,798.82
_03862_,798.15
_03997_,796.74
_03785_,796.27
_03885_,791.32
_03833_,789.835
_03857_,788.65
clknet_2_1_0_clock,787.46
_02968_,787.09
_02841_,785.48
_03851_,784.88
_03860_,783.96
clknet_0_clock,783.86
_03793_,783.72
address2[4],783.35
_03865_,783.105
_02699_,780.41
net29,778.535
net30,771.98
_03826_,771.52
_03811_,769.31
_04049_,765.51
_02710_,764.9
_03873_,763.07
_03776_,762.7
_02741_,760.07
clknet_2_0_0_clock,758.5
_01971_,758.14
_02712_,757.82
_02770_,755.79
_04948_,754.44
_03877_,754.36
_02765_,753.4
_02747_,748.03
_03986_,745.57
_02757_,744.16
_03836_,743.49
_03884_,742.325
net27,741.08
_03777_,738.42
_03810_,738.36
_03799_,736.13
_03863_,735.18
clknet_2_3_0_clock,732.48
_01835_,732.46
_02733_,732.14
_03888_,730.18
_02226_,727.5
_03839_,726.76
_02914_,724.5
_03892_,723.9
_04056_,722.63
_04119_,722.005
_02634_,721.635
_03056_,720.08
_02562_,718.7
_03987_,717.06
_03004_,714.16
_04984_,709.93
_02235_,709.84
_02783_,708.19
_02716_,708.06
_02623_,707.77
_02261_,707.32
_02857_,705.935
_03807_,705.6
_02923_,705.2
_02707_,702.2
_02715_,698.26
_04901_,695.14
_02858_,693.31
_01936_,691.62
_04415_,690.47
_03814_,687.99
clknet_2_2_0_clock,683.28
_03137_,682.87
_02645_,682.44
_02723_,682.29
_02231_,682.06
_04973_,678.34
_01831_,676.24
_03770_,675.33
_01947_,674.56
_02701_,671.015
net28,670.14
_04912_,669.185
_03773_,667.86
_03845_,665.96
_02239_,664.74
_04089_,663.1
_03854_,658.86
_02721_,657.22
_02778_,656.05
_01802_,655.16
_02861_,653.12
_03781_,651.94
_02696_,651.9
_04426_,648.4
_01841_,648.16
_02454_,647.04
_01839_,645.18
_04001_,644.74
_03844_,644.68
_03735_,642.76
_03220_,642.08
_03168_,641.48
_01925_,639.73
net21,636.14
_02355_,635.47
_01816_,635.42
_02218_,631.38
_04416_,630.995
_03855_,629.62
_02738_,627.07
_02743_,625.72
_03813_,625.16
_03808_,624.29
net20,623.38
_01825_,622.16
_02392_,621.76
_03858_,621.66
_04937_,620.06
_04322_,619.96
_02208_,617.88
net25,616.86
_01808_,616.44
_02745_,616.18
_02216_,615.64
_03853_,615.08
_01967_,613.8
_01818_,610.74
_04321_,610
_03843_,608.635
_02952_,604.82
_02443_,604.65
_03141_,604.48
_02224_,603.28
_04995_,602.7
_02526_,601.52
_03209_,598.94
_02773_,598.89
_02787_,594.17
_02140_,593.93
_02257_,589.02
_02703_,587.93
_02203_,586.91
net26,585.54
_02176_,585.5
_02713_,585.09
_02537_,581.71
_02233_,577.08
_03214_,575.88
_03847_,575.87
_03784_,573.36
_01804_,572.1
net24,569.6
_03385_,569.26
_04923_,568.86
_01821_,564.84
_05009_,564.39
_03200_,563.65
_03126_,562.82
_02975_,562.36
_01812_,561.78
_02056_,561.49
_01833_,560.95
_03045_,560.44
_01842_,559.7
_02241_,558.36
_03197_,557.08
_02774_,556.56
_02067_,555.7
net22,554.22
_03981_,554.2
_02212_,553.18
_02201_,551.38
_03779_,549.24
_02154_,548.37
_02748_,546.88
_02417_,546.86
_01846_,545.88
_02831_,545.86
_02972_,545.02
_02726_,544.94
_02344_,541.56
_01897_,541.52
_02974_,540.88
_02970_,540.08
_03044_,539.21
_02490_,538.5
_02763_,537.535
_04456_,537.38
_03251_,534.26
_01960_,533.66
_02428_,532.39
_02515_,531.38
_05045_,531.22
_02551_,531.02
_01879_,530.18
_03394_,529.1
net2,527.94
_02798_,526.86
_04081_,524.59
_02333_,523.62
net15,522.04
_02118_,520.93
_03795_,519.83
net12,519.36
_02501_,514.92
_01864_,514.88
_02777_,514.18
_02006_,513.82
_02842_,513.18
_04360_,512.12
_04375_,510.49
_01895_,509.16
net18,508.98
_04145_,508.22
_02129_,507.46
_01902_,505.48
_02370_,505.22
_01906_,503.52
_02705_,496.19
_01910_,496.04
_04334_,496.02
_01823_,495.88
_02165_,494.96
_01889_,494.26
_04063_,493.5
_02737_,492.5
_03820_,492.045
_05081_,489.34
_01883_,488.42
_02263_,486.45
_01814_,483.93
_02214_,483.4
_03778_,482.08
_01877_,481.08
_02045_,480.8
_01898_,479.74
_01887_,477.83
_05103_,477.34
_02609_,475.46
_03818_,474.46
_04114_,474.04
_02281_,473.74
net19,473.4
_01856_,472.44
_02681_,471.86
_03806_,471.04
_02740_,468.32
_05020_,467.92
_03128_,466.94
_03274_,466.775
_05067_,466.72
_03048_,466.08
_02251_,465.72
_01810_,465.62
_03920_,465.52
_04204_,464.01
_02210_,463.04
_02237_,462.02
_02775_,459.62
_01837_,458.72
_04430_,457.08
_02732_,456.48
_02465_,455.055
_01885_,448.48
_04259_,447.445
_02381_,447.2
_03194_,446.49
_01860_,445.21
_02706_,445.16
_01872_,444.82
_01973_,444.34
_02222_,442.78
_01874_,442.04
_02659_,440.02
_05056_,440.02
_03757_,439.46
_02259_,438.86
net16,436.84
_03185_,434.17
_05092_,434.12
_03184_,433.11
_02912_,432.94
_05031_,431.48
_01278_,429.875
_03787_,429.5
_03973_,429.5
_02837_,426.98
_01164_,426.38
_02479_,426.07
_04071_,423.48
_01121_,423.17
_02850_,422.06
_03805_,421.44
_02199_,420.52
_03275_,420.26
_01912_,417.15
_02406_,416.66
_02587_,415.595
_02028_,414.12
_02943_,414.1
_02270_,414.02
_02598_,413.12
net17,412.93
_02253_,409.34
_01795_,408.2
_03413_,408.06
_02670_,406.78
net23,406.74
_03136_,406.38
_01270_,404.98
_03383_,404.76
_04840_,404.52
_03370_,404.5
_02573_,404.27
_02245_,403.6
_03035_,403.39
_03372_,403.14
_01334_,403.12
_04529_,402.16
_02205_,401.8
_02881_,401.48
_03236_,400.7
_03204_,400.16
_03298_,400
_01829_,399.76
_04475_,399.42
_02229_,399.24
net42,398.96
_03187_,398.485
_03259_,398.32
_03467_,397.88
_03911_,397.44
_02082_,397.34
_03076_,397.095
_01295_,396.6
_02759_,396.34
_04876_,395.76
_03267_,395.46
_01852_,395.15
_02017_,394.66
_01161_,394.28
_02735_,393.84
net39,393.54
_04514_,393.42
_04959_,392.42
_03278_,390.15
_04377_,389.38
_03523_,388.2
_04351_,388.1
_03789_,388.01
net43,387.96
_04446_,386.7
